Child,Age,N.child,H.child,H.child.S,H.child.I,Schild,N.mother,H.mother,H.mother.S,H.mother.I,Smother
domin,781,1750,4.640395441,4.548822492,0.091572949,1.630941286,5770,5.340821994,4.834691094,0.5061309,3.396115362
domin,785,1561,4.636706195,4.50608781,0.130618384,1.551689861,5788,5.31446846,4.786937997,0.527530463,3.439096851
domin,792,1552,4.595336447,4.457095297,0.13824115,1.63540569,5769,5.324474234,4.774644506,0.549829728,3.50273224
domin,796,1520,4.56119276,4.423803274,0.137389486,1.719457014,5565,5.340937277,4.767708251,0.573229026,3.506616257
domin,801,1832,4.674927997,4.550294253,0.124633744,1.916317992,5192,5.360148367,4.791534527,0.56861384,3.393464052
domin,804,2014,4.821303272,4.686933497,0.134369775,2.0039801,5138,5.343352603,4.781045779,0.562306824,3.351598174
domin,810,2277,4.865019653,4.734390231,0.130629422,2.040322581,5075,5.33419912,4.793261869,0.540937251,3.461800819
domin,815,2082,4.843523392,4.700773323,0.142750069,2.057312253,5022,5.365096624,4.812859412,0.552237212,3.569296375
domin,824,1936,4.748217874,4.601763687,0.146454187,2.042194093,5463,5.355829086,4.815095532,0.540733554,3.778008299
domin,829,1653,4.786856122,4.643155606,0.143700516,1.993968637,5869,5.397814276,4.83464405,0.563170226,3.788896062
domin,840,2039,4.83725098,4.701663666,0.135587315,1.912757974,6795,5.435582439,4.878139095,0.557443345,3.700980392
domin,844,2077,4.886573903,4.760606064,0.125967839,1.896803653,6902,5.463731929,4.911510408,0.552221521,3.54676259
domin,850,2388,4.784798183,4.667978764,0.116819419,1.933603239,6812,5.465665151,4.920403553,0.545261598,3.445624684
domin,852,2140,4.731879463,4.618729932,0.113149531,2.020774315,6599,5.425601651,4.885672824,0.539928827,3.465861345
domin,856,2564,4.702130252,4.554164752,0.1479655,2.105090312,6522,5.390498347,4.843995446,0.5465029,3.540716612
domin,859,2672,4.735991319,4.599382032,0.136609286,2.103937008,6756,5.415808821,4.864253021,0.5515558,3.540880503
domin,866,3073,4.788988359,4.612863768,0.176124591,2.126643599,6602,5.430702219,4.855196007,0.575506212,3.547555078
domin,870,2987,4.822198916,4.644767964,0.177430953,2.142754663,4461,5.39588899,4.828491177,0.567397814,3.463509317
domin,876,2824,4.762750624,4.59895208,0.163798544,2.163984674,4610,5.372707285,4.780681014,0.59202627,3.652931854
domin,878,2286,4.853888706,4.682011042,0.171877665,2.11862836,5154,5.397451424,4.843509757,0.553941667,3.800884956
domin,883,1986,4.851621783,4.660078056,0.191543727,2.004036327,7291,5.473418631,4.89092004,0.582498591,3.660140562
domin,885,1899,4.844260676,4.640040189,0.204220488,1.887673956,6945,5.46938903,4.903901149,0.565487881,3.604047743
domin,893,2242,4.864970918,4.662506777,0.202464141,1.954664342,6102,5.457573771,4.885890426,0.571683346,3.388117712
domin,898,2479,4.959077753,4.774913689,0.184164064,1.999193548,5548,5.424179367,4.879734331,0.544445035,3.308288611
domin,904,2900,4.996831589,4.790261417,0.206570172,2.251552795,5054,5.454428825,4.872127203,0.582301622,3.229392971
domin,906,2776,4.947275696,4.726782915,0.220492782,2.275409836,5227,5.415587279,4.852966051,0.562621228,3.348494555
domin,914,2965,4.931601481,4.706060285,0.225541197,2.512711864,5681,5.420960059,4.85377756,0.567182499,3.555068836
domin,918,2666,5.012011855,4.788349599,0.223662257,2.482309125,6008,5.368554542,4.848001869,0.520552673,3.552927262
domin,925,3030,5.088257361,4.834669705,0.253587656,2.650918635,5822,5.451993825,4.904489621,0.547504204,3.54136253
domin,928,2785,5.05930221,4.801234757,0.258067453,2.515808491,5855,5.420942801,4.887640729,0.533302072,3.423976608
domin,935,3364,5.104899702,4.85289786,0.252001841,2.632237872,5897,5.491308243,4.936114296,0.555193947,3.348665531
domin,939,3364,5.043323376,4.807700414,0.235622961,2.671961875,5518,5.395293249,4.896196593,0.499096656,3.31809982
domin,947,3839,5.046729611,4.784608974,0.262120638,2.716914367,5321,5.439393421,4.919357757,0.520035663,3.240560292
domin,952,3597,5.053194211,4.763837705,0.289356507,2.540254237,5369,5.457815812,4.913369176,0.544446636,3.263829787
domin,959,3653,5.080280863,4.785912441,0.294368422,2.454973118,5774,5.443028108,4.8815342,0.561493907,3.21134594
domin,961,3658,4.994032593,4.705879876,0.288152717,2.610992148,5692,5.394216979,4.828237735,0.565979244,3.284477784
domin,966,3850,4.978932725,4.675715564,0.303217161,2.873134328,5443,5.387872688,4.821732523,0.566140165,3.355733662
domin,967,3370,4.939531179,4.629468068,0.310063111,2.895189003,5426,5.366338768,4.806498832,0.559839936,3.525666017
domin,976,2989,4.986462789,4.700195731,0.286267058,2.649822695,5856,5.445423645,4.854580216,0.590843428,3.639527657
domin,985,2603,4.942034761,4.694867759,0.247167002,2.412418906,6163,5.39684642,4.827711246,0.569135174,3.599883178
domin,994,2617,4.942641201,4.726040922,0.216600279,2.320035461,6306,5.434784998,4.861400661,0.573384338,3.568760611
domin,995,2018,4.770221796,4.583477828,0.186743969,2.217582418,6162,5.214253435,4.703682539,0.510570896,3.863322884
