Child Age N.child H.child.S H.child Schild N.mother H.mother.S H.mother Smother
hagar 688.101141925 610 4.90616131973 5.29851161281 1.95454545455 2130 5.15171699077 5.68434864459 4.4016563147
hagar 690.457317073 325 4.69661757178 5.00602387565 1.66839378238 1259 5.02581355612 5.52345384943 4.43816254417
hagar 691.469387755 291 4.67778724745 4.92331022158 1.64204545455 1066 4.9975776957 5.49327161271 4.46638655462
hagar 697.896995708 1162 4.81126715117 5.09362230044 2.20229007634 2568 5.00983047862 5.41430225585 4.39279588336
hagar 698.533039648 1359 4.89985541682 5.17320472937 2.16747181965 3354 5.13736596163 5.57771228959 4.35677083333
hagar 698.794463668 1442 4.94892148975 5.23523437894 2.17835365854 3364 5.15785637017 5.59895869232 4.2915601023
hagar 702.983888292 928 4.9340266662 5.23719073422 2.00438596491 2080 5.23223517255 5.74589685624 4.35429769392
hagar 704.229619565 733 4.78291095471 5.0639617241 2.03661971831 1305 5.00367290278 5.51276962027 4.52430555556
hagar 708.516778523 1189 4.98070741067 5.24416820408 2.18401486989 3734 5.15838281829 5.65094821715 5.01347708895
hagar 713.550819672 912 4.95380090767 5.21393197711 2.40159574468 3371 5.14002636255 5.59666691415 5.08939393939
hagar 714.109979633 979 4.97145336304 5.25081388754 2.37163814181 3693 5.18820729187 5.64324979541 4.96356275304
hagar 716.309173273 880 4.91200808283 5.24161068375 2.51873198847 2019 5.11402939674 5.59825767582 4.41666666667
hagar 718.236979167 765 4.85785437536 5.1211311741 2.375 1877 5.07643034075 5.58208893207 4.48681055156
hagar 723.185929648 992 4.99015460716 5.24738877655 2.44913151365 2338 5.06134127396 5.56231486074 4.59645669291
hagar 729.976426799 803 4.85200628611 5.08391264688 2.34319526627 2032 4.96411774537 5.4496166723 4.73536299766
hagar 733.712550607 738 4.70856598762 4.94422319544 2.41528239203 1527 4.9422708751 5.4099974253 4.6
hagar 738.503289474 909 4.82763887646 5.05017744872 2.44383561644 2548 5.07182525249 5.50569588817 4.50355871886
hagar 751.329525483 1135 4.74281137296 4.99915825778 2.4966442953 3630 5.02489226174 5.44175403844 4.89580514208
hagar 753.527595884 1066 4.71172814774 4.97818790992 2.47990543735 3709 5.00323265618 5.43138440245 4.91489361702
hagar 766.982160555 1006 4.66538604717 4.98909452391 2.50252525253 2962 4.99121672369 5.43479933387 5.0843373494
hagar 768.909090909 613 4.65504862444 4.96285762496 2.30418250951 1762 5.09066292839 5.57665372291 4.60209424084
hagar 769.878787879 789 4.75136267718 5.05834281972 2.36170212766 2275 5.21530271571 5.70081912895 4.49011857708
hagar 772.093484419 703 4.82140594322 5.05275480716 2.32534246575 1765 5.2481511534 5.72214078718 4.24038461538
hagar 773.147808359 978 4.59226513508 4.84372018342 2.52127659574 2546 5.15723696322 5.59778052436 4.31802721088
hagar 775.060287081 1042 4.60554684827 4.90148707975 2.515 2874 5.08429777789 5.52688271485 4.29041916168
hagar 777.454726368 1002 4.60958992563 4.90251351252 2.54545454545 3023 5.11354805418 5.54927393451 4.47696879643
hagar 780.232346241 875 4.80282242697 5.12361082488 2.42776203966 2683 5.23431141277 5.73317401255 4.46166666667
hagar 781.388098318 770 4.65815989186 4.95598646551 2.42307692308 2265 5.28761649815 5.76416472647 4.57489878543
hagar 782.621212121 657 4.56308493716 4.87611374762 2.30357142857 1856 5.22884088418 5.71338055077 4.31162790698
hagar 783.383458647 662 4.49450141598 4.82125615737 2.38745387454 1693 5.10688640461 5.5981965079 4.2325
hagar 783.994318182 525 4.44265459784 4.75721133239 2.39351851852 1481 5.04972496816 5.58014220453 4.37869822485
hagar 785.118644068 351 4.44413325971 4.7284636448 2.35862068966 1307 4.99604558213 5.51993725422 4.51211072664
hagar 789.5 393 4.37723407267 4.62495953573 2.23837209302 1674 5.10035116136 5.58300719788 4.9203539823
hagar 791.820627803 666 4.61756111663 5.01606708803 2.38970588235 2105 5.16270411468 5.65312619382 4.87906976744
hagar 794.945205479 873 4.69679553084 5.07626356321 2.36464088398 2638 5.18638385071 5.66401123868 4.6519434629
hagar 799.389830508 882 4.78550443338 5.17994614364 2.4297752809 2552 5.20119985575 5.66169223226 4.5195035461
hagar 804.187165775 745 4.79201271463 5.08247998321 2.34713375796 2363 5.18926039737 5.6614797647 4.44821092279
hagar 807.278879813 854 4.90416103042 5.13226259019 2.20519480519 2379 5.21803167584 5.72208758462 4.5996131528
hagar 810.00617284 645 4.69279579783 4.8917382265 2.0251572327 1904 5.13554016881 5.62065717027 4.51781472684
hagar 811.223728814 587 4.54839376101 4.75604142814 1.92105263158 1767 5.19477308769 5.66668197438 4.37965260546
hagar 814.218114603 538 4.73717565329 5.08765432717 2.08695652174 1765 5.21041037999 5.62482442596 4.46329113924
hagar 815.188732394 707 4.81192425539 5.22284771005 2.34797297297 1806 5.29040516058 5.73335303379 4.56060606061
hagar 821.197740113 882 4.84005399053 5.29360430007 2.63636363636 2489 5.23936360281 5.70002168693 4.71212121212
hagar 824.907094595 589 4.62366493204 5.11300690372 2.83495145631 1741 5.13693501454 5.57164300496 4.74114441417
hagar 834.794003868 1031 4.47688978712 4.8662638446 2.51604938272 2373 5.04565880984 5.51786761357 4.65815324165
hagar 839.346889952 1251 4.74071182472 5.11823910426 2.51224489796 2817 5.2031972527 5.71790398112 4.6772046589
hagar 842.303733032 1765 4.79029401732 5.18755586155 2.74285714286 4205 5.26838638233 5.81018116315 4.94110718492
hagar 847.007556675 1188 4.78972364761 5.17050381904 3.015625 3525 5.29087023842 5.80602971107 5.08683068017
hagar 850.99007589 1710 4.9790958713 5.36415213672 2.55167173252 6018 5.2813825036 5.82960200145 5.30538393645
hagar 851.927620632 1199 4.98677262276 5.32228539714 2.275 4913 5.26078078243 5.78926963648 5.28663793103
hagar 853.006918239 1587 5.01006682736 5.38439177523 2.4142194745 5857 5.31933619643 5.8750294482 5.37190082645
hagar 855.266927083 765 4.74612768105 5.12840606127 3.00803212851 1869 5.26667219446 5.8049619792 5.5975975976
hagar 857.434210526 985 4.78298878327 5.18606311334 3.09294871795 2061 5.18102485392 5.71241649322 5.39267015707
hagar 861.198003328 598 4.67748307798 5.0653787404 3.30898876404 640 4.76468101896 5.23614260521 5.24590163934
hagar 867.176285414 950 4.75292248393 5.17973647265 2.79402985075 2712 5.17590627466 5.71899388028 5.51934826884
hagar 869.183256427 1514 5.03855312976 5.50819029964 2.4958263773 5104 5.27806559287 5.87480928386 5.39894179894
hagar 869.865540541 1477 5.06604868075 5.51128188888 2.39802631579 5431 5.29862195581 5.89542835069 5.33824975418
hagar 871.903153153 1329 5.17065677998 5.61507213502 2.25989672978 4781 5.25557079483 5.82616063729 5.31848552339
hagar 875.120481928 578 4.74030044429 5.08318716181 2.234375 1971 5.04393413546 5.5106163454 5.35422343324
hagar 878.842352941 1272 5.15067721741 5.52490326314 2.44773175542 3243 5.20937443568 5.72570713912 5.24512987013
hagar 882.034338358 1191 5.12806717862 5.47138908781 2.67205542725 2802 5.23868140391 5.7523585108 4.93286219081
hagar 886.938900204 1470 5.20393208172 5.55144351252 2.5203539823 3481 5.2603599914 5.79100797746 4.84497206704
hagar 897.172151899 787 4.92365643989 5.18973260138 2.43174603175 1992 5.07489189353 5.56856279244 4.77403846154
hagar 913.258706468 801 4.85548892936 5.11147710339 2.44936708861 1438 5.04027703995 5.49983990671 4.88698630137
hagar 921.203960396 502 4.57643825073 4.79704935433 2.66666666667 876 4.89364957592 5.29593191044 5.34567901235
hagar 926.604066986 833 4.85765687566 5.1436458169 2.74237288136 1533 5.10250690124 5.56290214996 4.70897832817
hagar 932.676094891 1093 4.85774784062 5.15827279795 2.75647668394 2262 5.09882708337 5.56170346584 4.7050209205
hagar 933.790429043 1209 5.0105379487 5.29318480363 2.71759259259 2406 5.12090912042 5.61550690746 4.67578125
hagar 939.040600177 1130 4.91550494541 5.19712308082 2.7301980198 2743 5.04695359881 5.56864861986 5.09328358209
hagar 946.152741514 763 4.92279969795 5.17831467503 2.75 2025 5.14697303818 5.68698839766 5.1269035533
hagar 950.029411765 881 4.72986637989 4.96655827129 2.52631578947 2357 5.18168630821 5.71322793758 5.04086021505
hagar 952.436697248 542 4.70652797264 4.84825407759 2.37556561086 1406 5.28460319648 5.68060641843 4.86666666667
hagar 959.898876404 531 4.47442660445 4.63648298963 2.16877637131 1565 5.08820241292 5.51752550936 4.64759036145
hagar 968.618444846 550 4.69315302339 4.96449209197 2.71282051282 1820 5.14170335295 5.65200886391 4.79733333333
hagar 975.243134087 2473 4.96409397139 5.38255656152 3.79556259905 3401 5.14077302418 5.70065904797 5.15396341463
hagar 977.302373581 2904 5.00861258754 5.4340842199 3.8573388203 3873 5.1536299926 5.7248849642 5.34119278779
hagar 978.354530478 3032 5.0551227581 5.47090870664 3.77820512821 3808 5.13001966599 5.66468227153 5.48191027496
hagar 980.896368468 1126 4.87245468014 5.21249105178 3.20991253644 2150 5.0357784349 5.49201214474 5.39898989899
hagar 985.695705521 812 4.87513507946 5.19362947121 2.90909090909 1892 4.92353688845 5.39656215728 5.49707602339
hagar 993.004032258 741 4.82666384591 5.21856561861 3.03765690377 1556 4.80408573242 5.26063860935 5.11258278146
hagar 994.901248581 878 4.89308946476 5.33014150962 2.95532646048 1717 4.95554471078 5.45344382394 4.96209912536
hagar 1002.12882653 1565 4.93325866397 5.30324630716 2.84543761639 2000 5.04389826172 5.57484741617 4.62470862471
hagar 1014.54976097 2298 4.92798925885 5.29750627331 2.82893081761 4273 5.09443080693 5.6874996878 4.92138728324
hagar 1019.73647059 2972 5.01146295145 5.42524356847 3.00931677019 5480 5.19018044157 5.80505009415 5.1141253508
hagar 1028.59375 2141 4.95076228269 5.38152573258 3.18569254186 4565 5.16583007048 5.76365269855 5.15646258503
hagar 1046.07908309 1742 4.948897191 5.41394966211 3.54279749478 2928 5.1668632588 5.68367008804 5.63565891473
hagar 1155.54195921 2988 5.13876750152 5.52432396886 3.68686868687 1484 4.87598181958 5.30245029269 5.65250965251
smadar 530.578125 1021 4.06016471273 4.14712239548 1.98252427184 1679 4.49848558128 4.84351839282 3.03260869565
smadar 548.220796759 1478 4.47671427815 4.59724989869 2.10541310541 2030 4.68687236134 5.11089401259 2.8356741573
smadar 555.944558522 1458 4.49160178653 4.63003735594 2.23124042879 1728 4.68620859012 5.1424139137 2.68808777429
smadar 575.041748206 1530 4.67330443805 4.80470222738 2.34976887519 1816 4.7681194745 5.33778132026 3.14808362369
smadar 596.712295082 1217 4.62773489735 4.77755123678 2.31417624521 1978 4.83139380303 5.3396411224 3.65249537893
smadar 636.402838428 1829 4.85248377137 5.09960153215 2.77777777778 2390 4.94018080833 5.48647636479 3.8224
smadar 683.069565217 2067 4.81553544449 5.15243091605 3.25848142165 2165 4.94147408008 5.48054287554 3.83658969805
smadar 709.08552388 2698 4.84231459774 5.2537913378 3.54655870445 2416 4.96464895992 5.5613689578 3.80252764613
smadar 725.452544704 2905 4.82938354377 5.24717201411 3.57788944724 2557 4.96767606013 5.51728511869 3.62054208274
smadar 745.682704811 3073 4.96919453695 5.39931635943 3.6080760095 2711 4.95984179092 5.48245322743 3.3675
smadar 764.410612761 3163 4.9454649763 5.34959524174 3.83760683761 2275 4.87285206609 5.34497931286 3.07336956522
smadar 785.136052397 3356 4.90597014123 5.3079661805 4.03510895884 2199 4.86382393458 5.34930576684 3.03739612188
smadar 800.333616539 3528 4.90154037848 5.3387210999 4.51612903226 1769 4.85014704725 5.32517751353 2.99660441426
smadar 815.767728124 3734 5.02903179366 5.5011459711 4.68567807351 1875 4.90463836369 5.42550484849 3.28521126761
smadar 827.901463763 2798 5.03022509883 5.4997484331 4.79411764706 1429 4.86037140536 5.37037231057 3.47317073171
lior 548.412598425 632 5.46368566738 5.50134907413 1.41163310962 2117 4.86248080875 5.22939688061 3.40322580645
lior 558.754339119 746 5.55814213857 5.59922558004 1.48007968127 2545 4.92615802839 5.29603170933 3.28626943005
lior 572.746312684 675 5.3857474665 5.44187133991 1.55916473318 2265 4.9695870918 5.37584272831 3.26995645864
lior 589.790996785 619 4.97786101684 5.03698242957 1.72957746479 1906 4.95338847715 5.40053195204 3.61904761905
lior 603.222648752 518 4.72016488061 4.79759888163 1.8006993007 1771 4.96951352252 5.46107070999 3.98645598194
lior 626.639572193 932 5.07175287036 5.1444942763 1.92616033755 2340 5.0682943952 5.54619195754 3.9211409396
lior 636.307007786 896 5.14228040969 5.19308443058 1.85200845666 2449 5.07345025149 5.54936162152 3.9088
lior 644.660436137 960 5.23195597106 5.27648146107 1.74626865672 2861 5.11857798518 5.61719541473 3.87635869565
lior 668.797350993 752 4.88321563537 4.77487720406 1.70646766169 2131 5.08974589234 5.54683368511 3.98127340824
lior 682.636639676 985 5.04350732356 5.03927266437 1.98474945534 2013 5.0626553366 5.49979891104 3.69981583794
lior 690.746192893 982 4.97687848345 4.99241560152 2.15914489311 1699 4.97240498912 5.43282974316 3.69650655022
lior 707.197761194 801 4.96046547769 5.17333408246 2.36253776435 1461 4.96864288039 5.47138378573 4.01657458564
lior 729.218637993 834 4.77211937807 4.97112278867 2.37647058824 2190 5.10151648904 5.67312852095 4.70474137931
lior 749.433962264 1269 5.02655431808 5.1848620362 2.38759689922 2879 5.2676504822 5.79156510569 4.46189735614
lior 762.343220339 1885 5.20665091341 5.38966404497 2.32258064516 4534 5.26943999579 5.81965948748 4.4189453125
lior 773.498855835 1745 5.24458710513 5.40684403135 2.24226110363 3846 5.24970146556 5.7676417256 4.20372398686
lior 789.086931491 1734 5.13186967522 5.38215570464 2.40087463557 3554 5.21044572267 5.78680760554 4.288647343
lior 811.094724901 1760 5.10502435728 5.40584135992 2.84040747029 2872 5.34129294127 5.90820355278 4.26865671642
lior 820.880414313 2121 4.99858368182 5.34452980522 3.1399688958 2484 5.29066018944 5.88474946043 4.32574430823
lior 829.05800464 1721 4.9103904977 5.19264140123 3.10266159696 2100 5.23626760065 5.78585423259 4.51731601732
lior 853.372632865 1634 4.91512925716 5.21934079585 2.83363471971 2129 5.09753194775 5.70533826441 4.57112068966
lior 873.322434608 1985 4.95993799393 5.33202618982 2.9537037037 2958 5.15098622591 5.78091542427 4.50842266462
lior 886.867231638 2475 4.94402024061 5.36037209199 2.99624530663 3777 5.11886559668 5.76332334381 4.55205811138
lior 901.160180995 2207 4.88771330367 5.32215254853 2.95316804408 3649 5.11507919062 5.74391735599 4.63137755102
lior 928.582 1997 4.89532802792 5.23138304492 2.71408647141 3864 5.17691386016 5.7643543504 4.92327365729
lior 947.846474954 2153 4.82347429917 5.16359628614 3.0942562592 4088 5.22393294976 5.79731682846 5.26943005181
lior 959.752671152 2524 4.80028661 5.16323228232 3.40416666667 4707 5.20130616642 5.75507537012 5.46674445741
lior 972.647009619 2388 4.7484792047 5.14143288489 3.76097560976 4396 5.0893530063 5.63820465661 5.48933500627
lior 984.909732728 1980 4.72458614823 5.17372721953 3.39609236234 3494 5.00056541841 5.55881922536 5.21621621622
lior 998.686137072 1281 4.76415374157 5.1066662231 2.99033816425 2583 4.9627776665 5.43278341113 5.50646551724
lior 1087.88902292 2484 4.68189066347 5.13192614229 4.04849498328 3235 5.11484958822 5.64331362236 5.28712871287
lior 1105.2548121 2179 4.64364398153 5.0248036893 4.23353293413 3002 5.09543795602 5.57156857795 5.58724202627
lior 1118.4367052 3457 4.87051206866 5.37757218952 4.80681818182 3722 5.24966782817 5.80551960596 5.21800281294
lior 1197.68664752 2783 4.97840220899 5.49071089219 4.20737327189 3428 5.24381476728 5.76559874673 5.06203840473
